dossier,SI,SC,AIQ_v2,processed,skipped
Ajax_Engineering_Limited.pdf,0.95,0.7169,0.1761,199,77
Aadhar_Housing_Finance_Ltd.pdf,0.0,0.6667,0.4792,4,525
Addendum_to_Motisons_Jewellers_Limited.pdf,0.9033,0.7,0.293,30,25
Aadhar_Housing_Finance_Ltd.pdf,0.0,0.6667,0.4792,4,525
Addendum_to_Motisons_Jewellers_Limited.pdf,0.9033,0.7,0.293,30,25
Akums_Drugs_and_Pharmaceuticals_Limited_merged.pdf,0.0,0.6667,0.5,3,269
Aegis_Vopak_Terminals_Limited_merged.pdf,0.0,0.6667,0.5,6,616
Advance_Agrolife_Limited.pdf,0.8702,0.675,0.1227,200,414
Addendum_to_DRHP_of_Sah_Polymers_Limited_merged.pdf,0.8385,0.6667,0.2455,12,6
Advanced_Systek_Limited.pdf,0.0,0.6667,0.5,2,333
ACME_SOLAR_HOLDINGS_LTD_merged.pdf,0.9317,0.6753,0.1276,388,1362
Aeroflex_Industries_Limited_merged.pdf,0.9274,0.6679,0.1138,265,705
AFCONS_INFRASTRUCTURE_LIMITED.pdf,0.0,0.6667,0.5,4,493
Advanced_Systek_Limited.pdf,0.0,0.6667,0.5,2,333
AGS_Transact_Technologies_Limited_merged.pdf,0.0,0.6667,0.5,2,530
